query-id match-id score boundaries resolved cond-evalue indp-evalue
P07269 Homeodomain 61.2 78-134 78-134 3.4e-21 6.5e-17
P28004 SKIP_SNW 131.1 91-252 91-252 1.5e-42 2.9e-38
Q99359 Wap1 413 253-636 253-636 6.8e-128 1.3e-123
P09368 Pro_dh 177.6 121-196,236-458 121-196,236-458 2.1e-56 4e-52
P50861 DMRL_synthase 169.3 17-164 17-164 2.3e-54 4.4e-50
P0CX54 Ribosomal_L11_N 63.7 13-69 13-69 1.1e-21 1.1e-17
P0CX54 Ribosomal_L11 52.5 73-143 73-143 5.9e-18 5.6e-14
P49167 Ribosomal_L38e 94.1 2-78 2-78 2.2e-31 4.1e-27
Q04599 Ribosomal_L1 88.9 45-278 45-278 2e-29 3.8e-25
P53060 DUF2420 121 84-193 84-193 1.1e-39 2.2e-35
P32521 EF-hand_4 40.8 263-357 263-357 2.8e-14 1.8e-10
P32521 DUF1720 39.1 372-453 372-453 1.2e-13 7.9e-10
P32521 DUF1720 23.3 466-531 466-531 1.1e-08 6.9e-05
P32521 EF-hand_4 54.2 593-695 593-695 1.9e-18 1.2e-14
P38747 OTU 116.1 173-301 173-301 7.6e-38 1.4e-33
P40585 SRP1_TIP1 89.5 25-118 25-118 6.2e-30 1.2e-25
P38232 DUF1752 25.4 131-153 131-153 5e-10 9.7e-06
P06781 Ras 171.3 9-179 9-179 1.9e-54 1.2e-50
P41056 Ribosomal_L35Ae 142 7-101 7-101 2.8e-46 5.3e-42
Q04598 Ribosomal_L34 72.1 62-105 62-105 1.5e-24 2.8e-20
P0CX87 Ribosomal_L41 41.2 1-25 1-25 7.1e-15 1.4e-10
P02400 Ribosomal_60s 86.2 17-109 17-109 9.7e-29 1.9e-24
P47006 RNA_polI_A34 94.6 48-233 48-233 4.7e-31 9e-27
P38130 Glyco_transf_15 425.8 47-356 47-356 6.8e-132 1.3e-127
P30624 AMP-binding 299.7 80-388,422-561 80-388,422-561 1.5e-93 2.9e-89
P11746 SRF-TF 74 25-72 25-72 2.8e-25 5.4e-21
P32266 Dynamin_N 149.9 213-387 213-387 7.2e-48 6.9e-44
Q12457 Myb_DNA-binding 46.3 345-389 345-389 3.9e-16 3.7e-12
Q12457 Myb_DNA-binding 26.6 397-414,446-486 397-414,446-486 5.7e-10 5.4e-06
P53224 ORMDL 193.1 74-209 74-209 9.1e-62 1.8e-57
P31374 Pkinase 222.1 1096-1354 1096-1354 1.3e-69 8.4e-66
P0CX53 Ribosomal_L11_N 63.7 13-69 13-69 1.1e-21 1.1e-17
P0CX53 Ribosomal_L11 52.5 73-143 73-143 5.9e-18 5.6e-14
P54784 BAH 72.4 48-188 48-188 6.1e-24 2.9e-20
P54784 AAA 70.5 475-621 475-621 4e-23 1.9e-19
P54784 AAA_lid_10 162.8 637-738 637-738 3.8e-52 1.8e-48
P40035 Mito_carr 59.5 14-103 14-103 1.2e-20 2.4e-16
P40035 Mito_carr 46.8 106-197 106-197 1.2e-16 2.3e-12
P40035 Mito_carr 43.6 209-296 209-296 1.1e-15 2.2e-11
P53972 Methyltr_RsmB-F 41.4 235-353 235-353 6.5e-15 1.2e-10
P40352 SNF2-rel_dom 292.9 247-384,432-633 247-384,432-633 3.7e-91 2.3e-87
P40352 Helicase_C 70.4 651-768 651-768 2.4e-23 1.5e-19
P31244 SNF2-rel_dom 191.5 187-387,425-520 187-387,425-520 3.7e-60 1.8e-56
P31244 zf-C3HC4 33.7 537-580 537-580 5.4e-12 2.6e-08
